,nombre_tienda,razon_social,clase,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,codigo_postal,ubicacion,telefono,correo,pagina_web,tipo,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,municipio,dimension,porcentaje_obesidad,valor_comercial,numero_tiendas_municipio,numero_tiendas_colonia,place_id,current_popularity,popular_times,rating,rating_n,populartimes,time_spent
108,Boutique marisol,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,MODESTO ARREOLA,216.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8115731293.0,,,Fijo,-100.31622113,25.67546782,,,,Monterrey,C,42.2707,6098.849922,1578,271,,,,,,,
109,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,0.0,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,155,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
110,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,15 DE MAYO,315.0,8.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31838841,25.67237399,MERCADO PUBLICO,MERCADO FUNDADORES,O,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
111,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,100.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8120369707.0,JPALACIOSF@HOTMAILC.OM,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,100,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
112,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,47.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,47,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
113,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,0.0,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,101,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
114,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,0.0,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Semifijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,214,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
115,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,200.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8112777266.0,SONIA_SIDON@HOTMAIL.COM,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,200,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
116,Boutique sin nombre,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,,,,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
117,Boutique sofia,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,COLEGIO CIVIL,760.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31455726,25.68233849,,,,Monterrey,,42.2707,6098.849922,1578,189,,,,,,,
118,Boutique vizzio,EXPRESS WEAR SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,AVENIDA,LICENCIADO BENITO JUAREZ,,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31522391,25.66937617,,,,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
119,Bronco independiente,BRONCO INDEPENDIENTE WESTERN ROPA VAQUERA Y UNIFORMES DE GARCIA NL SA DE CV,Comercio al por menor de calzado,0 a 5 personas,ANDADOR,HERMENEGILDO GALEANA,956.0,,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,ADMON@BRONCOWESTERN.BOOTS.COM.MX,,Fijo,-100.31409683,25.66690514,,,,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
120,Brownside,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,FRAY SERVANDO TERESA DE MIER,101.0,205.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31508961,25.66852024,EDIFICIO COMERCIAL Y DE SERVICIOS,SHOPTOWN INTER PLAZA,205,Monterrey,,42.2707,6098.849922,1578,282,ChIJB_dzRC--YoYRTLlh5H-p8T4,,,3.3,4.0,,
121,Burner venta de camisetas,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,15 DE MAYO,315.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31838841,25.67237399,MERCADO PUBLICO,MERCADO FUNDADORES,B 41 43 45 47,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
122,Butique,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,IGNACIO ALLENDE,124.0,4.0,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31598416,25.67041886,,,,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
123,Butique,COLECCIONONE SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,AVENIDA,LICENCIADO BENITO JUAREZ,558.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.315212,25.67121771,,,,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
124,Butique de remate,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,GEORGE WASHINGTON,604.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183436427.0,,,Fijo,-100.31964042,25.67496631,,,,Monterrey,C,42.2707,6098.849922,1578,282,,,,,,,
125,Butique fotogenica,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,5 DE MAYO,315.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31803976,25.67398978,,,,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
126,Butique la feral,BUTIQUE LA FERAL ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,JOSE MARIANO JIMENEZ,306.0,,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31748504,25.67463416,,,,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
127,Calceteria monterrey,,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,CALLE,JUAN IGNACIO RAMON,320.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31754388,25.67137152,,,,Monterrey,C,42.2707,6098.849922,1578,271,ChIJsdzSNya-YoYRiVVg5qPf6xE,,,5.0,3.0,,
128,Calvin klein outlet monterrey,BASECO SAPI DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,PROLONGACION,MANUEL L. BARRAGÁN,220.0,51.0,EXHACIENDA EL CANADA,66054,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",,,WWW.GRUPOAXO.COM,Fijo,-100.30419325,25.77383391,,,,General Escobedo,A,42.653,1293.528121,208,3,,,,,,,
129,Calvin klein outlet monterrey,BASECO SAPI DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,AVENIDA,CARRETERA MIGUEL ALEMÁN,200.0,0.0,LA TALAVERNA,66470,"SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   ",,,WWW.GRUPOAXO.COM,Fijo,-100.21697574,25.71951592,CENTRO Y PLAZA COMERCIAL,OUTLET MONTERRYE,A8,San Nicolas De Los Garza,A,41.2272,4569.30629,313,4,,,,,,,
130,Camisas y gorras,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,8,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
131,Camiseria bronco,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALZADA,FRANCISCO I. MADERO,307.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8118783233.0,,,Fijo,-100.31551085,25.68425485,,,,Monterrey,C,42.2707,6098.849922,1578,189,ChIJqy8wb4WVYoYR5hxiwsXxmsc,,,3.4,9.0,,
132,Camiseria california,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,REFORMA,206.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183756279.0,,,Fijo,-100.31477142,25.68493895,,,,Monterrey,C,42.2707,6098.849922,1578,189,ChIJWxuL4oSVYoYRJgE0iFFQ_x8,,,4.0,4.0,,
133,Camiseria juarez,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,AVENIDA,LICENCIADO BENITO JUAREZ,266.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31469587,25.67486936,,,,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
134,Camiseria la herradura,CAMISARIA LA HERRADURA ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALZADA,FRANCISCO I. MADERO,315.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31581274,25.68429066,,,,Monterrey,,42.2707,6098.849922,1578,189,,,,,,,
135,Camiseria levaron tienda de ropa,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,COLEGIO CIVIL,1046.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31425298,25.68464662,,,,Monterrey,,42.2707,6098.849922,1578,189,,,,,,,
136,Camiseria mexico,"NOVEDADES DEL NORTE DE MONTERREY, S.A. DE C.V. ","Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALZADA,FRANCISCO I. MADERO,571.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183744396.0,,,Fijo,-100.31760026,25.68452791,,,,Monterrey,B,42.2707,6098.849922,1578,189,ChIJTxYzjeSVYoYR2rYdIZCLY0A,39,"[[7, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 25, 'Usually not too busy', '', '11 AM'], [12, 35, 'Usually not too busy', '', '12 PM'], [13, 40, 'Usually not too busy', '', '1 PM'], [14, 40, 'Usually not too busy', '', '2 PM'], [15, 35, 'Usually not too busy', '', '3 PM'], [16, 27, 'Usually not too busy', '', '4 PM'], [17, 19, 'Usually not busy', '', '5 PM'], [18, 13, 'Usually not busy', '', '6 PM'], [19, 0, '', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 29, 'Usually not too busy', '', '10 AM'], [11, 48, 'Usually not too busy', '', '11 AM'], [12, 62, 'Usually a little busy', '', '12 PM'], [13, 66, 'Usually a little busy', '', '1 PM'], [14, 64, 'Usually a little busy', '', '2 PM'], [15, 66, 'Usually a little busy', '', '3 PM'], [16, 70, 'Usually a little busy', '', '4 PM'], [17, 68, 'Usually a little busy', '', '5 PM'], [18, 54, 'Usually a little busy', '', '6 PM'], [19, 33, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 33, 'Usually not too busy', '', '10 AM'], [11, 49, 'Usually not too busy', '', '11 AM'], [12, 59, 'Usually a little busy', '', '12 PM'], [13, 61, 'Usually a little busy', '', '1 PM'], [14, 60, 'Usually a little busy', '', '2 PM'], [15, 59, 'Usually a little busy', '', '3 PM'], [16, 59, 'Usually a little busy', '', '4 PM'], [17, 56, 'Usually a little busy', '', '5 PM'], [18, 44, 'Usually not too busy', '', '6 PM'], [19, 29, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 30, 'Usually not too busy', '', '10 AM'], [11, 48, 'Usually not too busy', '', '11 AM'], [12, 60, 'Usually a little busy', '', '12 PM'], [13, 63, 'Usually a little busy', '', '1 PM'], [14, 62, 'Usually a little busy', '', '2 PM'], [15, 61, 'Usually a little busy', '', '3 PM'], [16, 60, 'Usually a little busy', '', '4 PM'], [17, 53, 'Usually a little busy', '', '5 PM'], [18, 40, 'Usually not too busy', '', '6 PM'], [19, 24, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 28, 'Usually not too busy', '', '10 AM'], [11, 40, 'Usually not too busy', '', '11 AM'], [12, 45, 'Usually not too busy', '', '12 PM'], [13, 45, 'Usually not too busy', '', '1 PM'], [14, 48, 'Usually not too busy', '', '2 PM'], [15, 55, 'Usually a little busy', '', '3 PM'], [16, 60, 'Usually a little busy', '', '4 PM'], [17, 55, 'Usually a little busy', '', '5 PM'], [18, 41, 'Usually not too busy', '', '6 PM'], [19, 25, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 24, 'Usually not too busy', '', '10 AM'], [11, 34, 'Usually not too busy', '', '11 AM'], [12, 43, 'Usually not too busy', '', '12 PM'], [13, 50, 'Usually a little busy', '', '1 PM'], [14, 55, 'Usually a little busy', '', '2 PM'], [15, 58, 'Usually a little busy', '', '3 PM'], [16, 57, 'Usually a little busy', '', '4 PM'], [17, 51, 'Usually a little busy', '', '5 PM'], [18, 41, 'Usually not too busy', '', '6 PM'], [19, 28, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 36, 'Usually not too busy', '', '10 AM'], [11, 63, 'Usually a little busy', '', '11 AM'], [12, 83, 'Usually as busy as it gets', '', '12 PM'], [13, 90, 'Usually as busy as it gets', '', '1 PM'], [14, 94, 'Usually as busy as it gets', '', '2 PM'], [15, 100, 'Usually as busy as it gets', '', '3 PM'], [16, 96, 'Usually as busy as it gets', '', '4 PM'], [17, 78, 'Usually a little busy', '', '5 PM'], [18, 51, 'Usually a little busy', '', '6 PM'], [19, 28, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]",4.2,1835.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 48, 62, 66, 64, 66, 70, 68, 54, 33, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 49, 59, 61, 60, 59, 59, 56, 44, 29, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 48, 60, 63, 62, 61, 60, 53, 40, 24, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 40, 45, 45, 48, 55, 60, 55, 41, 25, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 34, 43, 50, 55, 58, 57, 51, 41, 28, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 63, 83, 90, 94, 100, 96, 78, 51, 28, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 25, 35, 40, 40, 35, 27, 19, 13, 0, 0, 0, 0, 0]}]","[30, 30]"
137,Camiseria mexico,"NOVEDADES DEL NORTE DE MONTERREY, S.A. DE C.V. ","Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALZADA,FRANCISCO I. MADERO,571.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183744396.0,,,Fijo,-100.31760026,25.68452791,,,,Monterrey,C,42.2707,6098.849922,1578,189,ChIJTxYzjeSVYoYR2rYdIZCLY0A,39,"[[7, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 25, 'Usually not too busy', '', '11 AM'], [12, 35, 'Usually not too busy', '', '12 PM'], [13, 40, 'Usually not too busy', '', '1 PM'], [14, 40, 'Usually not too busy', '', '2 PM'], [15, 35, 'Usually not too busy', '', '3 PM'], [16, 27, 'Usually not too busy', '', '4 PM'], [17, 19, 'Usually not busy', '', '5 PM'], [18, 13, 'Usually not busy', '', '6 PM'], [19, 0, '', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 29, 'Usually not too busy', '', '10 AM'], [11, 48, 'Usually not too busy', '', '11 AM'], [12, 62, 'Usually a little busy', '', '12 PM'], [13, 66, 'Usually a little busy', '', '1 PM'], [14, 64, 'Usually a little busy', '', '2 PM'], [15, 66, 'Usually a little busy', '', '3 PM'], [16, 70, 'Usually a little busy', '', '4 PM'], [17, 68, 'Usually a little busy', '', '5 PM'], [18, 54, 'Usually a little busy', '', '6 PM'], [19, 33, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 33, 'Usually not too busy', '', '10 AM'], [11, 49, 'Usually not too busy', '', '11 AM'], [12, 59, 'Usually a little busy', '', '12 PM'], [13, 61, 'Usually a little busy', '', '1 PM'], [14, 60, 'Usually a little busy', '', '2 PM'], [15, 59, 'Usually a little busy', '', '3 PM'], [16, 59, 'Usually a little busy', '', '4 PM'], [17, 56, 'Usually a little busy', '', '5 PM'], [18, 44, 'Usually not too busy', '', '6 PM'], [19, 29, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 30, 'Usually not too busy', '', '10 AM'], [11, 48, 'Usually not too busy', '', '11 AM'], [12, 60, 'Usually a little busy', '', '12 PM'], [13, 63, 'Usually a little busy', '', '1 PM'], [14, 62, 'Usually a little busy', '', '2 PM'], [15, 61, 'Usually a little busy', '', '3 PM'], [16, 60, 'Usually a little busy', '', '4 PM'], [17, 53, 'Usually a little busy', '', '5 PM'], [18, 40, 'Usually not too busy', '', '6 PM'], [19, 24, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 28, 'Usually not too busy', '', '10 AM'], [11, 40, 'Usually not too busy', '', '11 AM'], [12, 45, 'Usually not too busy', '', '12 PM'], [13, 45, 'Usually not too busy', '', '1 PM'], [14, 48, 'Usually not too busy', '', '2 PM'], [15, 55, 'Usually a little busy', '', '3 PM'], [16, 60, 'Usually a little busy', '', '4 PM'], [17, 55, 'Usually a little busy', '', '5 PM'], [18, 41, 'Usually not too busy', '', '6 PM'], [19, 25, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 24, 'Usually not too busy', '', '10 AM'], [11, 34, 'Usually not too busy', '', '11 AM'], [12, 43, 'Usually not too busy', '', '12 PM'], [13, 50, 'Usually a little busy', '', '1 PM'], [14, 55, 'Usually a little busy', '', '2 PM'], [15, 58, 'Usually a little busy', '', '3 PM'], [16, 57, 'Usually a little busy', '', '4 PM'], [17, 51, 'Usually a little busy', '', '5 PM'], [18, 41, 'Usually not too busy', '', '6 PM'], [19, 28, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 36, 'Usually not too busy', '', '10 AM'], [11, 63, 'Usually a little busy', '', '11 AM'], [12, 83, 'Usually as busy as it gets', '', '12 PM'], [13, 90, 'Usually as busy as it gets', '', '1 PM'], [14, 94, 'Usually as busy as it gets', '', '2 PM'], [15, 100, 'Usually as busy as it gets', '', '3 PM'], [16, 96, 'Usually as busy as it gets', '', '4 PM'], [17, 78, 'Usually a little busy', '', '5 PM'], [18, 51, 'Usually a little busy', '', '6 PM'], [19, 28, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]",4.2,1835.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 48, 62, 66, 64, 66, 70, 68, 54, 33, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 49, 59, 61, 60, 59, 59, 56, 44, 29, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 48, 60, 63, 62, 61, 60, 53, 40, 24, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 40, 45, 45, 48, 55, 60, 55, 41, 25, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 34, 43, 50, 55, 58, 57, 51, 41, 28, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 63, 83, 90, 94, 100, 96, 78, 51, 28, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 25, 35, 40, 40, 35, 27, 19, 13, 0, 0, 0, 0, 0]}]","[30, 30]"
