Pecho,Cuello,Cintura,Longitud_delantera,Altura,Peso,Talla,SEXO,Cadera
110.5,38.3,93,61.3,174,64.1,L,H,
108.9,39.3,93.1,61.6,179.4,64.2,L,H,
107.6,38.4,92.1,61.2,179.1,68.1,L,H,
111.2,39.2,91,60.1,177.8,63.4,L,H,
108.4,38.5,91.2,61.7,177.2,69,L,H,
110.3,39.4,94.1,61.5,174.7,73.3,L,H,
107.9,39.3,95.3,61,173.1,63.5,L,H,
107.6,39.1,91.6,60,173.7,70.7,L,H,
110,38.2,95.8,60.2,179.8,72.7,L,H,
110.7,38.3,94.3,61.1,179.6,68,L,H,
110.8,38.4,93.7,60.1,175,68.3,L,H,
111.5,38.4,92,61,173.8,68.4,L,H,
111.2,38.7,98.1,61.3,178.7,66.7,L,H,
107.6,38.5,95.9,61.1,179.9,62.3,L,H,
111.3,39.1,91.7,61.5,179.2,63.4,L,H,
106.9,38.7,93.3,61.8,179,65.8,L,H,
110.7,38.4,94.5,60.1,176.3,72.7,L,H,
106.9,39.3,95.9,60.9,176.3,72.6,L,H,
107.4,39.1,93.3,60.4,174.5,64.7,L,H,
110.8,39.1,98.7,61.4,175.1,70.1,L,H,
109.9,39.1,98.2,60.6,177,70.8,L,H,
111.7,38.3,95.8,60.9,179.6,72,L,H,
111.1,38.3,92.5,61.7,175.5,63.8,L,H,
108.2,38.8,94.4,60,178.3,70.6,L,H,
107.7,39,93,61.8,177,66.5,L,H,
109.2,39,91.3,60.9,179.4,68,L,H,
110.6,38.8,98.3,61.8,177.7,65.4,L,H,
107,38.2,91.9,61.7,175.8,67.1,L,H,
106.8,38.5,98.5,61.1,179.5,71.2,L,H,
107,38.2,91.7,60.5,175.5,66,L,H,
110.4,39,96.5,60.5,173.5,64.9,L,H,
107.4,38.7,97.2,61.4,175.6,63.2,L,H,
108.3,39.2,95.2,61.5,173.3,66.4,L,H,
111.4,39.3,95.5,62,177.6,72.5,L,H,
107.9,38.7,98.4,61.7,178,69.8,L,H,
108.4,39,98.8,61.4,176.9,67.3,L,H,
107.9,39,96,61.2,173.6,69.2,L,H,
108.3,38.4,94.7,60.9,176.8,66.1,L,H,
111,38.8,94.1,61.5,178.4,62.8,L,H,
108.5,39.1,94.1,60.1,178.1,73.6,L,H,
108.3,39.4,98,60.3,174.8,67.4,L,H,
108.7,38.5,91.3,61.2,176.6,64.2,L,H,
111.7,39.2,93.5,60.4,177.5,71.1,L,H,
109.9,38.7,97.5,61.8,175.5,62.5,L,H,
108.2,38.8,95.7,61.8,176.3,68.8,L,H,
110.1,39.1,97.5,61.7,179.1,71.8,L,H,
111.2,38.9,97.6,60.1,175,67.6,L,H,
106.8,39.3,92.7,60.1,179,63.2,L,H,
108.9,38.2,97.6,61.3,174.6,70.2,L,H,
109.6,38.8,98.6,60.4,177.2,71.5,L,H,
111,38.6,98.1,61.1,173.5,63.4,L,H,
109.8,39.1,97.2,60.4,175.8,68.4,L,H,
111.2,38.3,91.4,60.3,178.2,71.1,L,H,
111.8,39.2,98.3,61.4,174.9,63.5,L,H,
107.6,38.2,92.4,61.8,174.5,63.1,L,H,
107.2,38.4,98.1,61,178.3,68.8,L,H,
110,39,93,61.7,178.8,66.8,L,H,
107.6,38.9,94.4,60.1,179.5,69.6,L,H,
110.7,38.6,91.3,61,173,69.8,L,H,
108.1,38.4,98.1,60.6,178.9,69.2,L,H,
110,38.8,95.3,61.7,176.6,66.6,L,H,
109.4,39.2,93.3,61,175.8,65.5,L,H,
106.9,39.1,95.7,61.5,179.2,63.2,L,H,
111.3,38.9,98.7,62,179.7,63.1,L,H,
109.6,38.6,97.2,60.4,175.1,70.5,L,H,
111.7,39,93,61.3,179.9,66.8,L,H,
110,38.7,93.4,60.9,175.8,67.9,L,H,
111,38.6,95.6,60.7,179.2,70,L,H,
109.1,38.4,93,61.2,178.1,65.8,L,H,
109.7,38.5,92.7,60.4,173.9,69.9,L,H,
108.9,38.8,96.6,60.9,178.3,68.7,L,H,
108,38.3,93.1,60.7,176.9,62.5,L,H,
110.9,38.3,98,61.9,177,70,L,H,
107.8,39.2,91.1,60.4,179.8,69.5,L,H,
111.6,38.6,94.3,60.3,175.5,62.3,L,H,
110.6,39.4,97,61.3,179.2,73.3,L,H,
108.5,38.9,95,60,174.8,70.7,L,H,
111.1,38.2,93.8,61.8,173.5,63,L,H,
107.6,38.2,94.9,60.9,176.9,71.5,L,H,
109.3,39.1,92.8,60.6,175,70.5,L,H,
108.1,39.1,95.9,61.2,173.4,63.3,L,H,
111.6,38.2,98.3,60.6,179.5,69.2,L,H,
110.9,38.8,92,61.4,174.4,62,L,H,
110.4,38.7,95.3,60.4,179.6,64.3,L,H,
111.5,38.2,94.1,61,173.4,69.6,L,H,
109.8,38.4,96.7,61.6,173.3,70,L,H,
107.5,39,94.7,60.4,173.9,65.7,L,H,
107.4,38.3,91.2,60.5,179.2,70.8,L,H,
107.3,39.2,93.9,60.4,179.4,72.7,L,H,
108.1,38.8,97.2,61,177.7,62.3,L,H,
111.4,39,92.5,61.4,179.3,62.5,L,H,
110.4,39.3,93.2,61.5,178.8,73.9,L,H,
108.7,38.7,97.5,61.6,177.4,69.1,L,H,
107.7,38.4,92.8,61.7,178.1,65.4,L,H,
109.9,38.8,92.1,60.2,176,66.9,L,H,
108.7,39.1,93.5,61.3,179.8,65,L,H,
108.6,38.5,95.2,61.6,173.6,69.1,L,H,
108.2,38.2,93.4,60.1,177.9,68.2,L,H,
110.6,38.1,92.8,60.8,174,68.5,L,H,
107,38.7,97,61.7,176.7,71,L,H,
111.2,38.9,92,61.8,176.3,63.2,L,H,
109.8,38.9,92.6,61.3,179.6,71.2,L,H,
110,38.7,96.2,61.8,174.4,71.5,L,H,
107.8,38.7,96.9,60,179.8,66.3,L,H,
107.3,38.4,96.1,62,180,68.6,L,H,
108.2,38.4,92.3,61.5,174.5,67.1,L,H,
107.8,39.1,93.1,61,179.6,66.3,L,H,
109.6,39,92.8,61.5,178.9,72.5,L,H,
108.5,39.1,98.2,62,175.3,70.4,L,H,
109.8,38.5,98.6,61.8,173.2,68.2,L,H,
109.7,39.2,96,61,173.1,69,L,H,
110.1,39.1,96.6,60.9,177.7,70.9,L,H,
109,38.5,98.7,60.8,177.3,68.2,L,H,
109,38.3,98.7,61.8,177.2,65.6,L,H,
109.1,38.6,97.3,60.5,175.1,72.8,L,H,
110.5,38.3,94.4,60.4,175.8,70.6,L,H,
109,38.7,97.3,61.5,177.4,68.5,L,H,
108.8,38.6,95.6,61.5,178.3,68.8,L,H,
110.5,38.9,97.1,60.6,176,63.8,L,H,
111.6,39.3,95.1,61,176.5,68.1,L,H,
107.5,39.4,93.4,60.4,175.5,73.4,L,H,
107.9,39.2,96.8,61.6,173.1,72.6,L,H,
111.1,38.9,91.9,61.3,179.2,62.3,L,H,
107.5,39,92,60.3,177.3,68.6,L,H,
108.2,38.6,92.5,61.7,179.1,72.3,L,H,
109.6,38.5,96.4,61.8,178.4,62,L,H,
108.4,38.4,96.8,60.7,178.9,72,L,H,
108.4,39.3,91.6,60.4,173.6,69.4,L,H,
107.4,38.6,94.5,61.5,177.1,68.9,L,H,
107.2,39.3,92.7,60.8,178.7,62.3,L,H,
110.6,38.1,95.4,61,177.5,71.1,L,H,
111.5,38.4,91.3,60.8,174.8,73.6,L,H,
107.3,38.2,97.6,61.7,173.9,73.6,L,H,
110.9,38.7,93.7,61,175.1,66.5,L,H,
108.8,38.8,97.4,60.2,174.4,65.6,L,H,
109,38.3,95.7,61.7,177.8,69.8,L,H,
110.3,38.1,91,60.4,177,68.3,L,H,
107.6,38.2,93.4,60.8,177.6,62.6,L,H,
108.8,38.5,94.8,61.6,174.2,70.1,L,H,
111.1,39.1,98,60.8,179,67.3,L,H,
111.6,38.9,95.1,61.4,173.9,70.2,L,H,
108.9,38.2,95.1,60.9,179.5,73.8,L,H,
108.6,38.3,93.9,61.4,177,63.4,L,H,
110.2,39.1,98.1,60.2,174.7,68.1,L,H,
106.8,38.2,94.1,61,175.2,64.1,L,H,
111.8,38.9,97.8,60.1,179.6,68.3,L,H,
108.3,38.5,95.7,61.3,177.9,70.8,L,H,
107.4,38.6,95.8,61.5,173.7,64.1,L,H,
107.7,38.3,91.3,60.9,178.7,67.5,L,H,
108.5,38.1,95.4,61.9,175.8,63.7,L,H,
108.6,38.3,98.9,60,176.2,73.7,L,H,
111,38.6,97.3,61.9,174.8,72.3,L,H,
110,39,91.3,61.9,179.6,71.3,L,H,
110.7,39,97.2,60.8,175.6,69.2,L,H,
111.3,39.4,96.1,61.4,177.6,71.7,L,H,
109,39.4,93.6,60.6,176.6,73.7,L,H,
110.7,39.2,93.9,61.5,173.2,71.7,L,H,
107.7,39.3,93.5,61.7,176.1,64,L,H,
111.3,38.6,93,60.3,178.2,71.8,L,H,
109.1,38.2,94.7,60.6,174.2,67.7,L,H,
108.3,38.5,94.3,60.5,173.4,72.9,L,H,
111.7,38.9,95.8,61.6,179.3,62.9,L,H,
109.9,38.6,95.5,61.8,175.9,72.2,L,H,
109.9,38.3,91.8,60.7,179.3,70.4,L,H,
109.7,39.3,96.3,60.5,176.1,62.4,L,H,
107.8,38.8,92.6,61.3,177.2,64.7,L,H,
108,39,96,60.7,175.9,63.1,L,H,
107.4,39.1,95.4,60.9,173,65.3,L,H,
110.3,39.2,95.8,61.2,176.2,69,L,H,
110.3,39,98.1,60.2,174.1,70.4,L,H,
108.3,39.2,91.3,61.2,175.5,66.5,L,H,
107.4,39.3,93.7,60.1,177.9,62.7,L,H,
108.3,39,91.9,61.8,176.9,63.3,L,H,
109.9,38.7,93.5,60.5,175.8,66.2,L,H,
111.2,38.7,91.9,61.8,174.6,71.2,L,H,
106.8,39.3,94.4,61.8,177,70.2,L,H,
111,38.4,92,60.5,174.8,62.2,L,H,
110,38.8,96.3,62,177.5,69.3,L,H,
109.6,39.2,95.1,61.6,174.9,68.2,L,H,
111.3,38.8,94.8,61.9,173.1,67.2,L,H,
107.1,38.7,91.1,61,175.7,70.3,L,H,
110.4,39.2,98.6,61.3,174.6,67.4,L,H,
109.7,38.6,91.3,61,174,63.6,L,H,
107.9,39.2,97.3,61.6,176.1,71.8,L,H,
110.3,38.3,94.2,61.4,178.6,65.7,L,H,
110.2,38.6,95.1,61.8,176.1,66.1,L,H,
111.3,38.8,91.4,60.2,176,70.9,L,H,
111,38.9,95,60.7,177.3,64.1,L,H,
110.2,38.3,98.6,60.7,178.5,70.5,L,H,
109.2,39.1,98.5,60.9,174,62.6,L,H,
110.4,39.3,98.8,60.6,173.2,69.6,L,H,
110.6,39.4,95.1,60.3,178.5,72.9,L,H,
111.5,38.8,94.2,60.4,178.4,67.6,L,H,
107.6,38.8,93.4,61.4,173.4,66,L,H,
110.7,39,98.2,61.4,174,72.9,L,H,
110.9,38.9,92.1,60.7,176.9,68.5,L,H,
109.3,39.4,92.6,60.9,175.2,66.7,L,H,
110.7,38.9,98,61.7,175.4,72.7,L,H,
110.5,38.6,91.5,61.8,174.7,65.9,L,H,
109.7,39.2,94.9,61.8,175.1,72.5,L,H,
106.9,38.6,98.6,61.4,179.7,67.7,L,H,
111.7,39.3,93.4,61,177.3,70.1,L,H,
111.4,38.4,96,61.7,173.8,64.2,L,H,
111,38.4,95.3,61.5,178.7,65.9,L,H,
111,38.1,96.3,61.7,177,69.8,L,H,
109.4,39,93.2,61.9,174.9,69.9,L,H,
108.2,38.9,91.8,61.1,174.8,71.7,L,H,
109.9,38.4,91.2,61.7,175.2,69.5,L,H,
110,38.4,97.5,60.3,178.1,64.8,L,H,
110.9,39.1,98.2,60.1,175,70.4,L,H,
110.5,39.1,98.7,60.2,176,73.2,L,H,
111.5,38.9,96.6,61.3,178.7,65,L,H,
108.5,38.6,94.9,61.8,174.2,73.9,L,H,
109.7,38.2,94,61.1,177.4,73.6,L,H,
109.6,38.4,94.7,61.3,178.7,66,L,H,
110.3,39.1,91.6,61.2,176.1,69,L,H,
110.7,38.7,93.4,60.2,175.7,66.2,L,H,
111.6,39.1,95.2,60.5,179.6,68,L,H,
108.6,38.5,98,60.6,180,62.2,L,H,
107.6,38.5,95.2,61.6,177.6,63.3,L,H,
109.4,39.2,96,61.7,176.8,70.2,L,H,
111.6,38.8,97,60.3,177,65.8,L,H,
111.7,38.9,97.9,60.6,176.9,71.6,L,H,
108.4,39.3,96,61.8,176.4,64.8,L,H,
107.3,38.6,97.1,60.1,173.1,62.7,L,H,
110.8,38.6,97,61.7,174.1,68.4,L,H,
108.2,38.7,94.5,61.5,175.7,63.2,L,H,
111,38.7,96.7,61.6,174,65.8,L,H,
108.7,38.5,95.9,60.3,179.4,68.5,L,H,
110.2,38.8,98.4,61.4,173.3,65.2,L,H,
109.3,38.9,97.7,60.8,173.5,65.1,L,H,
108.9,38.6,93.4,60.1,176.6,64.7,L,H,
106.9,39.3,95.2,60.4,177.7,73.4,L,H,
110.4,39.2,91.8,61.9,177.9,64.2,L,H,
108.4,38.9,95.3,60.8,176.6,69.4,L,H,
111.1,39.3,96.8,60.8,175.9,62.9,L,H,
108.3,39.3,93.9,61.7,174.8,68.1,L,H,
108.7,39.2,94.2,60.8,176.6,66.7,L,H,
109.5,39.2,91.3,61.4,178.4,72.9,L,H,
109,38.6,97.5,60,174.9,72.5,L,H,
107.1,39.2,97.8,61.2,174.3,66.8,L,H,
107,39.3,94.1,61.8,173.5,73.2,L,H,
108.9,38.9,95.2,61.9,176.9,63.3,L,H,
108.2,39,91.2,60.2,174.2,72.6,L,H,
107.3,38.5,94.8,61.8,176.6,70.7,L,H,
110.6,38.8,93.4,60.8,173.2,72.2,L,H,
111.2,39,97.2,61.9,178.9,62.3,L,H,
109.9,38.9,95.7,61.4,178,63.2,L,H,
107.7,39.1,96,60.3,175.9,69.3,L,H,
111.3,38.8,91.2,61.9,178.1,68.3,L,H,
107.8,38.6,95,60.1,175.3,67.2,L,H,
108,38.8,95,61.7,175.2,64.8,L,H,
110.1,39.2,91.9,61.2,179.9,69.7,L,H,
107.9,38.1,93.6,61,177.3,69.5,L,H,
108.5,38.3,94.6,60.9,177.9,67.5,L,H,
108.7,38.2,96.1,61.8,176.3,62.8,L,H,
108.5,39.2,98.4,61.7,175.2,63.5,L,H,
108.4,38.9,96.7,61,174.1,66.1,L,H,
110.6,39,92.4,61.9,173.8,69.5,L,H,
111,38.7,93.5,61.4,176.6,71.1,L,H,
107.4,38.3,97.4,60.1,177.6,64.9,L,H,
110,38.6,97.3,60.6,175.5,72.7,L,H,
108.1,39.2,91.3,60.5,176.5,65.4,L,H,
111.6,38.7,94.3,61.9,179.6,68.9,L,H,
107.9,38.8,91.5,61,179.4,63.4,L,H,
110.8,39.1,92.2,61,176.3,62.6,L,H,
111.8,38.5,94.4,60.8,175.8,68.3,L,H,
109.1,38.7,97.7,60.1,175.6,72.3,L,H,
108.8,38.1,94.4,61.7,175.8,72.2,L,H,
109.1,38.1,98.9,60.7,174,71.3,L,H,
108.9,38.4,91.5,60.4,174.4,70.5,L,H,
110.6,38.9,98.5,60.6,177.7,66.6,L,H,
106.8,39.1,94.8,60.5,179.6,67.1,L,H,
110.4,38.2,97.9,61.6,178.4,73.6,L,H,
111.2,38.2,93.3,61.8,176.5,63.2,L,H,
110.7,39.1,91.4,60.7,179.4,68.5,L,H,
107.1,38.8,97.9,60.2,173.7,63.4,L,H,
109,39.2,94.5,60.2,176.5,67.8,L,H,
107.5,38.1,93.8,60.2,179.7,70.6,L,H,
106.9,39.3,98.5,61,177.6,71.2,L,H,
107.1,38.4,96.6,61.4,178.9,63.3,L,H,
107.9,38.5,95.7,60.1,175.1,67.4,L,H,
110.3,38.1,95.5,61.9,173.5,70.8,L,H,
107.8,39.1,98.6,60.9,175.3,64.4,L,H,
108.3,38.2,95.4,60.6,178.1,73.1,L,H,
107.4,38.3,94.3,60.2,179.4,62.6,L,H,
108.3,39.2,92,61,177.7,63.3,L,H,
109.4,39,93.9,61.4,174,66.3,L,H,
110,39.2,91.9,61,178.3,73.9,L,H,
107.9,39.2,92.2,61.6,178.5,73.8,L,H,
110.9,39,97.7,61.2,173.9,63.7,L,H,
108.1,39.2,93.9,60.8,174,68.1,L,H,
108.4,38.4,93.6,61.8,177.3,63,L,H,
110.3,38.7,98.5,61.6,175.7,69.4,L,H,
109,39.3,95.6,61.1,178.8,71.6,L,H,
109.1,39.2,97.5,61.7,178,62.9,L,H,
111.2,39.3,96.6,61.1,174.6,72,L,H,
111.5,38.8,97.8,61.5,177,67.9,L,H,
109.4,38.2,95.7,61.1,176.4,64,L,H,
110.6,39.3,97.6,61,173.5,62.5,L,H,
110.8,38.3,92.3,60.1,179.7,71,L,H,
109.6,39,93.3,61.5,177.2,73.2,L,H,
109,38.7,97.9,60.6,175,72.1,L,H,
108.1,39.2,98.9,60.8,178.4,70.3,L,H,
108.1,38.8,93.2,61.7,178.2,62.5,L,H,
108.1,39.3,98.3,61.8,173.1,65.9,L,H,
107.6,38.8,91.2,60.5,174.7,72.9,L,H,
108,38.8,95.3,60.2,175.4,66.9,L,H,
110.1,38.1,97.2,60.3,173.7,63.7,L,H,
108.5,39.1,93.7,61.4,174.3,65.7,L,H,
108.4,39,97,61.6,178.2,62.9,L,H,
108.1,38.6,91.7,61,173.8,68.7,L,H,
111.4,38.4,91.1,61.2,173.3,72.4,L,H,
111.8,38.7,94.4,60,177.8,74,L,H,
110.9,38.1,97.5,61.3,178.4,65.7,L,H,
108.7,39.2,96.1,61.8,173.9,68.7,L,H,
107.8,38.8,91.9,61.1,177.7,70.1,L,H,
109.9,38.3,93.3,60.6,175.9,68.2,L,H,
107.2,38.5,94.1,60.7,175.5,71,L,H,
111.1,38.2,95.6,61.5,175.3,73.4,L,H,
107.2,38.6,94.8,60.7,179.3,65.5,L,H,
110.1,39,97.3,60.3,177,68.3,L,H,
107.9,38.3,93.7,61.3,176.8,72.1,L,H,
107.9,39.3,95,60.4,178.4,69.1,L,H,
108.5,38.7,95.6,61.3,173.9,68.3,L,H,
107.5,38.2,93.8,60.1,179.8,63.3,L,H,
108.2,38.7,91.2,61.2,176.1,67.6,L,H,
106.8,38.4,94.8,61.9,174,62,L,H,
106.9,39.1,96.3,60.6,179.8,71.3,L,H,
107.1,38.5,96.1,60.5,174.1,72.8,L,H,
111.3,39.3,91.5,62,176.3,65.6,L,H,
111,38.7,91.7,60.3,175.7,63.3,L,H,
108.4,39.2,91.4,61.5,179.3,71.5,L,H,
109.8,38.4,96.4,60.2,175.4,71.3,L,H,
110,38.3,95.3,60.2,178.2,71,L,H,
107,38.3,93,61.6,174.7,70,L,H,
110.3,38.6,91.5,60.6,178.1,69.2,L,H,
107.5,39.3,97,60.1,174.1,70.1,L,H,
107.9,39.3,94.1,61.1,176.1,64.1,L,H,
111.3,38.2,98.4,60.7,177.3,68.9,L,H,
110,39.2,96.8,61,176.6,69.5,L,H,
108.5,38.9,94.9,61.5,178.2,62.8,L,H,
111.3,38.8,91.4,60.3,178.5,66.8,L,H,
109,38.7,91.4,61.8,177.7,73.8,L,H,
109.9,38.5,92.2,60.7,179.1,62.3,L,H,
108,38.2,96.3,61.7,178.2,69.9,L,H,
110,38.7,97.2,61.6,177.6,72.3,L,H,
107.4,39.1,94.7,61,173.9,62.9,L,H,
110.2,38.9,92.3,61.2,179.3,71.9,L,H,
109.2,39.2,97.9,61.6,178.3,63.7,L,H,
107.4,38.7,96.7,60.9,173.3,65.1,L,H,
108,38.9,97.3,60.1,176.1,68.6,L,H,
108.8,38.9,91.1,61.4,173.8,71.1,L,H,
107.8,38.5,93.9,60.3,175.1,64.3,L,H,
107.1,39.1,91.3,61.8,177.3,70.9,L,H,
108.4,38.4,91.1,60.2,177.8,64.9,L,H,
111.6,38.4,98.5,60.4,176.9,73.8,L,H,
110.7,39.1,96.5,60.9,173.2,62.5,L,H,
110.7,39.1,98.6,61,176.5,66.4,L,H,
107.9,38.4,98.2,60.8,178.9,69.1,L,H,
110.7,38.3,97.1,61.9,179.4,72.3,L,H,
111.5,38.5,91.2,61.2,178.7,67,L,H,
110.6,38.2,97.3,61.5,177.7,63.4,L,H,
110.9,39.3,97.3,60.6,176.1,68,L,H,
110.4,38.9,92.3,60.3,177.8,66,L,H,
107.6,38.8,96.6,61.5,179.2,69.7,L,H,
106.8,39.2,98.6,61.9,176.7,63.7,L,H,
108.4,38.8,92.5,60.5,179.3,67.4,L,H,
111.2,38.9,92.6,60,174.5,63.5,L,H,
108.5,39.2,98.3,60.7,178.6,68.8,L,H,
109.1,39.4,97.6,61,178.3,70.6,L,H,
109.7,38.2,98,61.2,173.4,73.2,L,H,
108.5,38.4,91.4,60.5,177,71.1,L,H,
107.2,38.3,91.2,60.5,179.2,66.5,L,H,
107,38.5,91.4,61.5,173.6,73.1,L,H,
108,38.9,96.4,60.3,173.4,72,L,H,
109.7,39.2,92.4,60.2,178.4,64.1,L,H,
108.9,39.3,92,60.2,176.5,70.3,L,H,
110.2,39.2,91.5,61.8,178.4,71.3,L,H,
107.2,38.5,91.1,61.2,179.9,66,L,H,
111.1,38.6,94,60.4,173.2,67.6,L,H,
107,38.4,93.4,61.8,178.7,64.3,L,H,
109.9,38.9,95,60.7,173.2,72,L,H,
110.8,38.5,96.6,60.8,173.7,67.8,L,H,
107.6,38.9,91.7,60.4,179.3,68.6,L,H,
108.1,38.5,94,60,175.4,69.1,L,H,
108.3,38.9,92.7,60.8,179.5,67.8,L,H,
110.1,38.5,97.1,60.4,175.1,70.4,L,H,
109.9,38.2,92.1,60.1,177.5,69.8,L,H,
108.5,39,95,60,177.7,66.1,L,H,
109.2,38.4,96.2,60.4,179.4,73.4,L,H,
110.5,38.3,94.8,61.4,175,65.8,L,H,
109.3,39.3,92.9,61,178.5,67.4,L,H,
107.7,39.3,98.6,60.2,179.2,65.9,L,H,
107.4,38.1,93.9,60.6,176,69,L,H,
111,38.7,97.1,61.5,179.7,62.3,L,H,
111.6,38.4,92.2,61.5,177.7,69.5,L,H,
108.1,38.9,95.1,61.7,179.2,73.6,L,H,
106.7,38.5,95.6,61.7,175.7,64.2,L,H,
110.7,39,98.6,61.2,175,66.1,L,H,
108.5,39.4,98.1,61.3,179.2,68.4,L,H,
108.4,39.1,93.5,60.1,179.2,73.8,L,H,
108.1,38.5,96.7,60.1,177.8,73.1,L,H,
111.4,38.1,94.2,61.3,174.8,67,L,H,
107.4,38.2,93,60.9,177.9,73.1,L,H,
107.7,38.8,93.5,60.4,174.8,64.4,L,H,
107.4,38.7,96.6,61,174.1,73.3,L,H,
109.7,38.8,95.4,61.7,178.3,64.4,L,H,
107.6,38.8,92.9,61.2,178.3,69.2,L,H,
108.8,38.2,92.1,61.7,177.1,62.6,L,H,
107.9,38.1,98.5,61.2,174.3,71.7,L,H,
110.6,38.3,96.8,60.2,178.3,63.6,L,H,
110.8,38.4,95.5,61.9,173.2,70.3,L,H,
107.5,38.8,93.6,60.9,175.7,69.1,L,H,
108.7,38.7,96.9,61.4,176.8,69.8,L,H,
111.7,38.9,95.9,61.4,174.5,64.6,L,H,
108.3,38.6,96.1,60.1,178.4,68.1,L,H,
110,38.5,92.6,61.2,174.4,70.6,L,H,
110.9,38.4,98.4,60.8,174.1,66.8,L,H,
108.3,38.5,94.2,61.9,177.9,69.7,L,H,
107.4,38.3,92.4,60.7,180,69.9,L,H,
107.7,39.4,98.4,60.2,178.1,70.8,L,H,
109.5,39.2,93.4,60.2,175.2,64,L,H,
106.8,38.5,98.5,60.5,175.2,67.2,L,H,
110,39,92.1,61.6,173.3,73.8,L,H,
111,38.9,93.5,61.4,177.4,73.3,L,H,
110,38.3,97.6,61.4,177.2,70.2,L,H,
111.1,38.6,94.4,60.7,176.6,70.7,L,H,
106.7,39,98.9,61,179.8,64.2,L,H,
107.6,38.8,97.6,61.1,174.4,68.8,L,H,
106.9,38.2,92.3,60.2,174.4,73.6,L,H,
106.8,39.4,94.8,61.5,178.3,67.8,L,H,
110.9,38.2,92.7,60.9,178.8,66.9,L,H,
107.1,39.2,97.4,61.7,178.9,64.5,L,H,
108.5,38.7,96.5,61.2,178.1,65.7,L,H,
108.5,38.3,91.4,61.8,177.6,67.7,L,H,
108,38.3,98.2,60.4,176.7,72.6,L,H,
107.7,38.7,94.6,61.4,177.9,70.3,L,H,
106.8,39,98.1,60.2,178.5,66.7,L,H,
111.4,38.2,95,60.1,173.2,65.2,L,H,
110,39,95.7,61,176.3,73.3,L,H,
107.7,38.7,93.8,61.5,173.7,63.3,L,H,
110.2,38.6,98.6,61.1,176.6,70.9,L,H,
110.8,39,96.4,61.8,179.9,67,L,H,
111.1,38.3,94.5,60.6,175,68.2,L,H,
107.7,38.6,95.8,60.5,176.3,67.5,L,H,
108.6,38.3,96.4,60.1,179.3,68.3,L,H,
109.8,39.1,93.7,60.8,173.2,71.3,L,H,
111.3,38.8,93.8,60.1,178.7,69.3,L,H,
109.8,39.2,98.9,60.6,175.2,73.5,L,H,
108.6,38.3,97.8,61.4,178.2,63.9,L,H,
111.4,39.3,98.1,61.5,175.7,63.3,L,H,
107.2,38.5,95,61.1,178.9,73.5,L,H,
110.6,38.6,98.4,60,173.2,69.9,L,H,
110,38.7,96,61.2,176.2,67.4,L,H,
107,39.3,97,60.8,178.6,73.1,L,H,
107.7,39,92.3,60.6,179.1,64.3,L,H,
110.1,38.3,96.6,60.2,177.5,62.7,L,H,
110.3,38.7,95.9,61.9,173.2,72.7,L,H,
108.6,39.4,93.7,60.3,174.5,63.2,L,H,
111.7,38.3,95.6,60.9,178.6,63.9,L,H,
107.6,38.3,92.7,61.6,175.8,68.6,L,H,
111.4,38.2,97.8,61.4,175,66.2,L,H,
110.2,38.6,96.9,60,174.8,70.2,L,H,
107.1,38.7,93.5,60.7,174.5,64.1,L,H,
107.3,38.6,97.3,60.9,174.8,62.8,L,H,
109.5,39.3,97.9,60.4,177.2,63.4,L,H,
109,39.2,97.7,61.4,173.6,72.5,L,H,
109.2,39.2,98.8,61.9,178.6,63.5,L,H,
107.6,38.5,96.5,60.5,179.8,72.7,L,H,
109.4,38.5,95.4,61.7,176,67.8,L,H,
110,39,91.7,61.9,179.5,69.6,L,H,
110.1,38.9,97,60,179.2,63.7,L,H,
107.9,39.1,97,61.3,177.5,63.6,L,H,
110.7,39.2,94.6,60.5,173.9,67.5,L,H,
110.1,38.6,93.3,61.7,179.9,73.1,L,H,
107.7,39.1,97,60.7,177.3,73.6,L,H,
110.7,38.9,98.3,61.4,175.1,68.5,L,H,
110,38.6,94.3,61.2,173.8,72.8,L,H,
108.6,38.7,96,60.2,173.5,70.3,L,H,
109.3,38.1,94.3,61.1,178.7,72.9,L,H,
109.8,38.4,91.8,60.9,178.2,62.3,L,H,
111.7,39.4,98.8,61.3,174.3,72.7,L,H,
107.6,38.2,93.1,60.6,175.8,65.5,L,H,
106.9,38.9,97.7,60.5,178.7,69.1,L,H,
108.3,38.9,97.2,60.8,177.2,73.4,L,H,
111.7,39.2,95.5,60.5,179.2,64.4,L,H,
109,38.4,97.3,61.4,175.4,73,L,H,
110.1,39.1,97.3,60.9,175.5,63.7,L,H,
108.5,39.1,94.9,61,178.3,64.6,L,H,
109.4,39.2,96.7,60,177.5,62.9,L,H,
107.3,38.6,95.2,60.5,175.5,73,L,H,
109.7,38.6,96.2,61,174.5,66.9,L,H,
109.3,38.1,98.1,60.9,179.5,71.6,L,H,
109.1,38.4,97,61.1,179.1,70.1,L,H,
109.4,38.6,98.8,60.9,176.1,69.4,L,H,
108.7,39.2,96.4,60.7,174.4,66.1,L,H,
109,38.2,98.1,61.3,178.4,66.2,L,H,
107.6,38.9,93.6,60.2,174,63.9,L,H,
108.8,38.7,98.8,60.2,175.8,63.6,L,H,
109,38.7,95.7,60.9,178.1,66.8,L,H,
